Sport,API
Aeronautics,1.0
Alpine Skiing,1.0490399932402448
Alpinism,1.0
Archery,1.107129020319171
Art Competitions,0.9465413551692478
Athletics,0.9944084229290215
Badminton,0.9886920198659899
Baseball,1.000465486198747
Basketball,1.0006990379727154
Basque Pelota,1.0
Beach Volleyball,1.0215525114155253
Biathlon,1.01390913764253
Bobsleigh,1.0253623984167108
Boxing,1.0001385082426433
Canoeing,1.0180183902542101
Cricket,1.0
Croquet,0.9226778656126482
Cross Country Skiing,1.0619512123175232
Curling,1.0601704084882173
Cycling,0.992707896490579
Diving,0.9903624844816128
Equestrianism,1.0285220498548675
Fencing,1.0125130558235012
Figure Skating,1.0804504301774656
Football,1.019673255422374
Freestyle Skiing,1.0206525724585533
Golf,0.944713217114493
Gymnastics,1.0296244907191117
Handball,1.0015602356373337
Hockey,1.002437989015282
Ice Hockey,0.998657151114042
Jeu De Paume,0.8935574229691877
Judo,0.9948575592850455
Lacrosse,1.0
Luge,1.0485641058538537
Military Ski Patrol,1.021618625277162
Modern Pentathlon,1.0315244077616068
Motorboating,0.9514285714285714
Nordic Combined,1.0312504371032851
Polo,0.978809869375907
Racquets,1.0046511627906975
Rhythmic Gymnastics,1.0103930865144264
Roque,1.0
Rowing,1.01143670251921
Rugby,1.0
Rugby Sevens,0.9727803689668096
Sailing,1.0497454852079935
Shooting,1.0008271459991798
Short Track Speed Skating,0.9835621700013125
Skeleton,0.9698599058476547
Ski Jumping,1.0174035268387698
Snowboarding,0.9935878125403451
Softball,1.0175143731093423
Speed Skating,1.0440511318990755
Swimming,1.01733633789769
Synchronized Swimming,1.0644905940446183
Table Tennis,0.9341601933989758
Taekwondo,0.9748622353317785
Tennis,1.0400692310634554
Trampolining,0.9560498996772224
Triathlon,1.0117878459034182
Tug-Of-War,1.0078110354308567
Volleyball,1.023476445225082
Water Polo,1.0083839992362107
Weightlifting,0.9912278170809964
Wrestling,1.010791056037798
