NOC,MedalCount,NumAthletes,MEI
AFG,2,103,0.019417475728155338
AHO,1,55,0.01818181818181818
ALG,17,373,0.045576407506702415
ANZ,29,53,0.5471698113207547
ARG,274,1848,0.14826839826839827
ARM,16,146,0.1095890410958904
AUS,1320,3820,0.34554973821989526
AUT,450,2337,0.1925545571245186
AZE,44,193,0.22797927461139897
BAH,40,162,0.24691358024691357
BAR,1,115,0.008695652173913044
BDI,2,25,0.08
BEL,468,2078,0.2252165543792108
BER,1,121,0.008264462809917356
BLR,139,763,0.182175622542595
BOH,12,66,0.18181818181818182
BOT,1,62,0.016129032258064516
BRA,475,2053,0.23136872868972236
BRN,3,90,0.03333333333333333
BUL,342,1502,0.22769640479360853
CAN,1352,4811,0.28102265641238827
CHI,32,525,0.06095238095238095
CHN,989,2664,0.37124624624624625
CIV,3,124,0.024193548387096774
CMR,22,227,0.09691629955947137
COL,28,617,0.04538087520259319
CRC,4,156,0.02564102564102564
CRO,149,428,0.34813084112149534
CUB,409,1283,0.31878409976617306
CYP,1,120,0.008333333333333333
CZE,144,734,0.19618528610354224
DEN,597,1923,0.31045241809672386
DJI,1,28,0.03571428571428571
DOM,7,208,0.03365384615384615
ECU,2,158,0.012658227848101266
EGY,27,1000,0.027
ERI,1,26,0.038461538461538464
ESP,489,2637,0.18543799772468714
EST,50,354,0.14124293785310735
ETH,53,232,0.22844827586206898
EUN,279,604,0.46192052980132453
FIJ,13,128,0.1015625
FIN,900,2347,0.3834682573498083
FRA,1767,6170,0.286385737439222
FRG,586,1708,0.3430913348946136
GAB,1,48,0.020833333333333332
GBR,2067,6281,0.3290877248845725
GDR,1005,1360,0.7389705882352942
GEO,32,167,0.19161676646706588
GER,2165,4872,0.444376026272578
GHA,23,245,0.09387755102040816
GRE,255,1709,0.1492100643651258
GRN,2,44,0.045454545454545456
GUA,1,240,0.004166666666666667
GUY,1,75,0.013333333333333334
HAI,7,76,0.09210526315789473
HKG,4,321,0.012461059190031152
HUN,1135,2761,0.4110829409634191
INA,41,275,0.14909090909090908
IND,197,892,0.22085201793721973
IOA,5,76,0.06578947368421052
IRI,68,526,0.12927756653992395
IRL,35,800,0.04375
IRQ,1,194,0.005154639175257732
ISL,17,297,0.05723905723905724
ISR,9,353,0.025495750708215296
ISV,1,150,0.006666666666666667
ITA,1637,4935,0.33171225937183385
JAM,157,370,0.4243243243243243
JOR,1,61,0.01639344262295082
JPN,913,4067,0.22448979591836735
KAZ,77,694,0.11095100864553314
KEN,106,515,0.2058252427184466
KGZ,3,129,0.023255813953488372
KOR,638,2393,0.26661094860008355
KOS,1,8,0.125
KSA,6,149,0.040268456375838924
KUW,2,192,0.010416666666666666
LAT,35,445,0.07865168539325842
LIB,4,176,0.022727272727272728
LIE,9,131,0.06870229007633588
LTU,61,320,0.190625
LUX,8,379,0.021108179419525065
MAR,23,460,0.05
MAS,16,301,0.053156146179401995
MDA,8,131,0.061068702290076333
MEX,110,1549,0.07101355713363461
MGL,26,292,0.08904109589041095
MKD,1,47,0.02127659574468085
MNE,14,55,0.2545454545454545
MON,1,82,0.012195121951219513
MOZ,2,52,0.038461538461538464
MRI,1,88,0.011363636363636364
NAM,4,40,0.1
NED,1040,2939,0.3538618577747533
NEP,1,80,0.0125
NGR,99,565,0.1752212389380531
NIG,2,42,0.047619047619047616
NOR,1033,2216,0.46615523465703973
NZL,228,1326,0.17194570135746606
PAK,121,363,0.3333333333333333
PAN,3,86,0.03488372093023256
PAR,17,104,0.16346153846153846
PER,15,353,0.042492917847025496
PHI,10,389,0.02570694087403599
POL,565,2970,0.19023569023569023
POR,41,730,0.056164383561643834
PRK,67,405,0.1654320987654321
PUR,9,562,0.01601423487544484
QAT,5,141,0.03546099290780142
ROU,653,1798,0.3631813125695217
RSA,131,963,0.1360332294911734
RUS,1165,2428,0.4798187808896211
SCG,64,205,0.3121951219512195
SEN,1,234,0.004273504273504274
SGP,9,172,0.05232558139534884
SLO,48,420,0.11428571428571428
SRB,85,229,0.37117903930131
SRI,2,93,0.021505376344086023
SUD,1,81,0.012345679012345678
SUI,691,2883,0.23968088796392648
SUR,2,33,0.06060606060606061
SVK,47,457,0.10284463894967177
SWE,1536,3787,0.40559809875891206
SYR,3,132,0.022727272727272728
TAN,2,110,0.01818181818181818
TCH,488,2093,0.23315814620162445
TGA,1,38,0.02631578947368421
THA,30,462,0.06493506493506493
TJK,4,45,0.08888888888888889
TOG,1,42,0.023809523809523808
TPE,49,566,0.08657243816254417
TTO,32,167,0.19161676646706588
TUN,13,416,0.03125
TUR,95,808,0.11757425742574257
UAE,2,78,0.02564102564102564
UAR,2,74,0.02702702702702703
UGA,7,178,0.03932584269662921
UKR,199,1134,0.17548500881834214
URS,2503,2948,0.8490502035278155
URU,63,366,0.1721311475409836
USA,5637,9653,0.5839635346524397
UZB,34,295,0.1152542372881356
VEN,15,549,0.0273224043715847
VIE,4,104,0.038461538461538464
WIF,5,13,0.38461538461538464
YUG,390,1270,0.30708661417322836
ZAM,2,145,0.013793103448275862
ZIM,22,196,0.11224489795918367
