Sport,MedalCount,NumEvents,Medals_per_Event
Aeronautics,1,1,1.0
Alpine Skiing,428,10,42.8
Alpinism,25,1,25.0
Archery,353,29,12.172413793103448
Art Competitions,156,29,5.379310344827586
Athletics,3969,83,47.81927710843374
Badminton,168,5,33.6
Baseball,336,1,336.0
Basketball,1080,2,540.0
Basque Pelota,2,1,2.0
Beach Volleyball,72,2,36.0
Biathlon,408,13,31.384615384615383
Bobsleigh,398,4,99.5
Boxing,944,15,62.93333333333333
Canoeing,1165,27,43.148148148148145
Cricket,24,1,24.0
Croquet,8,3,2.6666666666666665
Cross Country Skiing,776,23,33.73913043478261
Curling,152,2,76.0
Cycling,1263,44,28.704545454545453
Diving,427,10,42.7
Equestrianism,965,18,53.611111111111114
Fencing,1743,18,96.83333333333333
Figure Skating,386,6,64.33333333333333
Football,1571,2,785.5
Freestyle Skiing,102,10,10.2
Golf,46,3,15.333333333333334
Gymnastics,2256,27,83.55555555555556
Handball,1060,2,530.0
Hockey,1528,2,764.0
Ice Hockey,1530,2,765.0
Jeu De Paume,3,1,3.0
Judo,547,15,36.46666666666667
Lacrosse,60,1,60.0
Luge,180,4,45.0
Military Ski Patrol,12,1,12.0
Modern Pentathlon,186,3,62.0
Motorboating,7,3,2.3333333333333335
Nordic Combined,165,5,33.0
Polo,67,1,67.0
Racquets,10,2,5.0
Rhythmic Gymnastics,132,2,66.0
Roque,3,1,3.0
Rowing,2945,25,117.8
Rugby,162,1,162.0
Rugby Sevens,74,2,37.0
Sailing,1232,38,32.421052631578945
Shooting,1228,83,14.795180722891565
Short Track Speed Skating,284,8,35.5
Skeleton,30,2,15.0
Ski Jumping,207,4,51.75
Snowboarding,90,12,7.5
Softball,179,1,179.0
Speed Skating,580,13,44.61538461538461
Swimming,3048,55,55.41818181818182
Synchronized Swimming,215,3,71.66666666666667
Table Tennis,168,6,28.0
Taekwondo,144,8,18.0
Tennis,340,9,37.77777777777778
Trampolining,30,2,15.0
Triathlon,30,2,15.0
Tug-Of-War,115,1,115.0
Volleyball,969,2,484.5
Water Polo,1057,2,528.5
Weightlifting,646,21,30.761904761904763
Wrestling,1296,30,43.2
